"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size_training","batching_strategy","command","context_length","dataset","gamma","gradient_accumulation_steps","gradient_clipping","gradient_clipping_threshold","lora_alpha","lora_ckpt_path","lora_dropout","lora_r","lr","max_eval_step","max_train_step","method","metric.goal","metric.name","model_name","model_type","num_epochs","num_experts","num_experts_per_tok","num_workers_dataloader","output_dir","parameters.batch_size_training","parameters.batching_strategy","parameters.context_length","parameters.dataset","parameters.gamma","parameters.gradient_accumulation_steps","parameters.gradient_accumulation_stepss","parameters.gradient_clipping","parameters.gradient_clipping_threshold","parameters.lora_alpha","parameters.lora_alphas","parameters.lora_dropout","parameters.lora_r","parameters.lora_targets","parameters.lrs","parameters.max_eval_step","parameters.max_train_step","parameters.model_type","parameters.num_epochs","parameters.num_experts","parameters.num_expertss","parameters.num_experts_per_tok","parameters.num_experts_per_toks","parameters.num_workers_dataloader","parameters.output_dir","parameters.penalty_alpha","parameters.penalty_alphas","parameters.project","parameters.quant_type","parameters.run_validation","parameters.save_metrics","parameters.save_model","parameters.seed","parameters.use_moe","parameters.use_profiler","parameters.use_wandb","parameters.val_batch_size","parameters.weight_decay","penalty_alpha","profiler_dir","program","project","quant_type","run_validation","save_metrics","save_model","seed","use_moe","use_profiler","use_wandb","val_batch_size","weight_decay","parameters.lr","avg_checkpoint_time","avg_epoch_time","avg_eval_loss","avg_eval_prep","avg_train_loss","avg_train_prep","eval/loss","eval/perplexity","train/epoch","train/loss","train/step","lora_target"
"devoted-sweep-4","finished","-","","","2024-07-05T13:47:03.000Z","23808","rutbpbeo","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","8","4","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","llama3_hyperparameter_search","nf4","true","false","false","1","true","","true","2","0","","0.0000019209692254662514","20397.60381091002","0.6003372073173523","1.8227334022521973","0.005002328660339117","1.0050148963928225","0.6003372073173523","1.8227334022521973","1","0.010242337360978128","9999","[""all_linear"",""output""]"
"radiant-sweep-3","finished","-","","","2024-07-05T03:46:30.000Z","22379","rutbpbeo","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","llama3_hyperparameter_search","nf4","true","false","false","1","true","","true","2","0","","0.0000016179983504116535","19161.760947510014","0.6024171710014343","1.826528549194336","0.00498436251655221","1.0049967765808103","0.6024171710014343","1.826528549194336","1","0.01095763873308897","9999","[""all_linear"",""output""]"
"honest-sweep-4","finished","-","","","2024-07-01T05:16:21.000Z","26061","qjeiljxi","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","8","4","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","true","false","true","1","0","","0.000002303975634276867","20185.112872205995","0.6026663184165955","1.8269836902618408","0.005002328660339117","1.0050148963928225","0.6026663184165955","1.8269836902618408","1","0.010242337360978128","9999","[""all_linear"",""output""]"
"fresh-sweep-2","finished","-","","","2024-07-04T23:43:34.000Z","14574","rutbpbeo","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","4","4","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","llama3_hyperparameter_search","nf4","true","false","false","1","true","","true","2","0","","0.0000028859940357506275","12387.13242133698","0.6026902794837952","1.827027440071106","0.005055462475866079","1.005068302154541","0.6026902794837952","1.827027440071106","1","0.009776219725608826","9999","[""all_linear"",""output""]"
"lucky-sweep-1","finished","-","","","2024-07-04T14:08:58.000Z","13386","rutbpbeo","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","4","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","llama3_hyperparameter_search","nf4","true","false","false","1","true","","true","2","0","","0.0000013170065358281136","11445.423878283997","0.6031384468078613","1.8278465270996096","0.005020336713641882","1.005033016204834","0.6031384468078613","1.8278465270996096","1","0.010055159218609331","9999","[""all_linear"",""output""]"
"fluent-sweep-8","finished","-","","","2024-07-06T09:46:43.000Z","23518","rutbpbeo","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","8","4","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","llama3_hyperparameter_search","nf4","true","false","false","1","true","","true","2","0","","0.00000197399640455842","20005.640154897003","0.6033213138580322","1.8281807899475095","0.005061255302280188","1.005074143409729","0.6033213138580322","1.8281807899475095","1","0.009925861842930315","9999","[""ffn""]"
"honest-sweep-2","finished","-","","","2024-06-30T18:20:02.000Z","15492","qjeiljxi","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","4","4","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","true","false","true","1","0","","0.000001348002115264535","11987.063632357982","0.6047895550727844","1.8308669328689575","0.005055462475866079","1.005068302154541","0.6047895550727844","1.8308669328689575","1","0.009776219725608826","9999","[""all_linear"",""output""]"
"summer-sweep-7","finished","-","","","2024-06-29T01:45:51.000Z","25321","9sdy4blz","1","padding","","8192","cust_support","0.1","128","false","1","192","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","8","3","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","true","false","true","1","0","","0.0000015460027498193083","19571.506476568","0.6048146486282349","1.830912709236145","0.002589469077065587","1.0025928020477295","0.6048146486282349","1.830912709236145","1","0.004880417138338089","9999","[""all_linear""]"
"dulcet-sweep-7","finished","-","","","2024-07-06T03:39:24.000Z","22033","rutbpbeo","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","llama3_hyperparameter_search","nf4","true","false","false","1","true","","true","2","0","","0.00000278296647593379","18738.81793459598","0.6051244139671326","1.8314800262451172","0.005026877857744694","1.0050395727157593","0.6051244139671326","1.8314800262451172","1","0.010266445577144625","9999","[""ffn""]"
"logical-sweep-5","finished","-","","","2024-07-05T20:23:53.000Z","12526","rutbpbeo","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","0.0001","10000","10000","","","","llama3_8b","instruct","1","4","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","llama3_hyperparameter_search","nf4","true","false","false","1","true","","true","2","0","","0.0000020100269466638565","10669.584388975984","0.6068297028541565","1.8346059322357176","0.005088172387331724","1.005101203918457","0.6068297028541565","1.8346059322357176","1","0.00993924681097269","9999","[""ffn""]"
