"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size_training","batching_strategy","command","context_length","dataset","gamma","gradient_accumulation_steps","gradient_clipping","gradient_clipping_threshold","lora_alpha","lora_ckpt_path","lora_dropout","lora_r","lora_target","lr","max_eval_step","max_train_step","max_val_step","method","metric.goal","metric.name","model_name","model_type","num_epochs","num_experts","num_experts_per_tok","num_workers_dataloader","output_dir","parameters.batch_size_training","parameters.batching_strategy","parameters.context_length","parameters.dataset","parameters.gamma","parameters.gradient_accumulation_stepss","parameters.gradient_clippings","parameters.gradient_clipping_threshold","parameters.lora_alphas","parameters.lora_dropouts","parameters.lora_rs","parameters.lora_targets","parameters.lrs","parameters.max_eval_step","parameters.max_train_step","parameters.max_val_step","parameters.model_type","parameters.num_epochs","parameters.num_experts","parameters.num_experts_per_tok","parameters.num_workers_dataloader","parameters.output_dir","parameters.project","parameters.quant_type","parameters.run_validation","parameters.save_metrics","parameters.save_model","parameters.seed","parameters.use_moe","parameters.use_profiler","parameters.use_wandb","parameters.val_batch_size","parameters.weight_decays","penalty_alpha","profiler_dir","program","project","quant_type","run_validation","save_metrics","save_model","seed","use_moe","use_profiler","use_wandb","val_batch_size","weight_decay","parameters.gradient_accumulation_steps","parameters.gradient_clipping","parameters.lora_alpha","parameters.lora_dropout","parameters.lr","parameters.penalty_alpha","parameters.weight_decay","avg_checkpoint_time","avg_epoch_time","avg_eval_loss","avg_eval_prep","avg_train_loss","avg_train_prep","eval/loss","eval/perplexity","train/epoch","train/loss","train/step"
"vivid-sweep-17","finished","-","","","2024-07-03T21:18:54.000Z","6158","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","32","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000011759984772652388","4731.440522010002","0.6005680561065674","1.823154091835022","0.004965458530932665","1.004977822303772","0.6005680561065674","1.823154091835022","1","0.00969942007213831","9999"
"worldly-sweep-15","finished","-","","","2024-07-03T17:57:36.000Z","6036","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000014800025383010509","4587.434319199005","0.6011034846305847","1.824130654335022","0.004972364287823439","1.004984736442566","0.6011034846305847","1.824130654335022","1","0.009637619368731976","9999"
"glowing-sweep-13","finished","-","","","2024-07-03T14:21:22.000Z","6113","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","8","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000004604997229762375","4595.1662016810005","0.6027160882949829","1.8270745277404783","0.0049769338220357895","1.0049893856048584","0.6027160882949829","1.8270745277404783","1","0.00973037537187338","9999"
"olive-star-58","finished","-","","","2024-07-04T06:29:37.000Z","4867","","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","[""ffn""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","nf4","true","false","false","1","false","","true","2","0","","","","","","","","0.0000011450028978288174","4170.576295457984","0.6040679216384888","1.8295460939407349","0.005060094408690929","1.0050729513168335","0.6040679216384888","1.8295460939407349","1","0.009565561078488828","9999"
"young-sweep-18","finished","-","","","2024-07-03T23:01:38.000Z","6012","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","32","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000001688982592895627","4611.914348997991","0.6133468747138977","1.8466013669967651","0.00502749253064394","1.005040168762207","0.6133468747138977","1.8466013669967651","1","0.011286203749477863","9999"
"dulcet-sweep-16","finished","-","","","2024-07-03T19:38:16.000Z","6033","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","16","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000002134998794645071","4597.266287940991","0.6164516806602478","1.8523436784744265","0.005066891200840473","1.005079746246338","0.6164516806602478","1.8523436784744265","1","0.010030717588961124","9999"
"eager-sweep-12","finished","-","","","2024-07-03T12:26:34.000Z","6881","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","32","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000025320041459053755","5355.957044227995","0.6200729608535767","1.859063744544983","0.005315578542649746","1.005329728126526","0.6200729608535767","1.859063744544983","1","0.009239240549504755","9999"
"floral-sweep-6","finished","-","","","2024-07-02T11:28:09.000Z","6222","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","32","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000013570024748332798","4517.827208978999","0.6200729608535767","1.859063744544983","0.005315578542649746","1.005329728126526","0.6200729608535767","1.859063744544983","1","0.009239240549504755","9999"
"light-sweep-9","finished","-","","","2024-07-03T07:17:09.000Z","6322","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","16","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000012680102372542024","4820.574229584003","0.6206395626068115","1.8601173162460327","0.005356367211788893","1.0053707361221311","0.6206395626068115","1.8601173162460327","1","0.009323719888925552","9999"
"major-sweep-1","finished","-","","","2024-07-01T19:57:49.000Z","6110","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","16","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000002149958163499832","4676.391732335003","0.6206395626068115","1.8601173162460327","0.005356367211788893","1.0053707361221311","0.6206395626068115","1.8601173162460327","1","0.009323719888925552","9999"
